id,innings_id,over_number,ball_number,striker_id,non_striker_id,bowler_id,runs_off_bat,extras,extra_type,is_legal_delivery,wicket_fell,wicket_type,dismissed_player_id,fielder_name,shot_type,shot_zone,notes
1,1,0,1,15,1,29,0,1,wide,FALSE,FALSE,,,,paddle_sweep,deep_square_leg,"{""phase"":""powerplay"",""score"":""1/0"",""crr"":6.0,""rrr"":"""",""pressure"":0.0,""xRuns"":1.611,""xWicket"":0.006,""risk"":0.55,""control"":0.57}"
2,1,0,1,15,1,29,1,0,,TRUE,FALSE,,,,lofted,square_leg_inside,"{""phase"":""powerplay"",""score"":""2/0"",""crr"":12.0,""rrr"":"""",""pressure"":0.0,""xRuns"":1.611,""xWicket"":0.024,""risk"":0.55,""control"":0.613}"
3,1,0,2,1,15,29,0,0,,TRUE,FALSE,,,,on_drive,long_on,"{""phase"":""powerplay"",""score"":""2/0"",""crr"":6.0,""rrr"":"""",""pressure"":0.003,""xRuns"":1.518,""xWicket"":0.027,""risk"":0.473,""control"":0.508}"
4,1,0,3,1,15,29,4,0,,TRUE,FALSE,,,,lofted,mid_on_inside,"{""phase"":""powerplay"",""score"":""6/0"",""crr"":12.0,""rrr"":"""",""pressure"":0.006,""xRuns"":1.517,""xWicket"":0.027,""risk"":0.624,""control"":0.599}"
5,1,0,4,1,15,29,0,0,,TRUE,FALSE,,,,cut,cover_point_inside,"{""phase"":""powerplay"",""score"":""6/0"",""crr"":9.0,""rrr"":"""",""pressure"":0.009,""xRuns"":1.515,""xWicket"":0.028,""risk"":0.475,""control"":0.539}"
6,1,0,5,1,15,29,0,0,,TRUE,FALSE,,,,ramp,short_leg,"{""phase"":""powerplay"",""score"":""6/0"",""crr"":7.2,""rrr"":"""",""pressure"":0.011,""xRuns"":1.514,""xWicket"":0.028,""risk"":0.476,""control"":0.626}"
7,1,0,6,1,15,29,1,0,,TRUE,FALSE,,,,cut,fine_leg,"{""phase"":""powerplay"",""score"":""7/0"",""crr"":7.0,""rrr"":"""",""pressure"":0.014,""xRuns"":1.513,""xWicket"":0.028,""risk"":0.478,""control"":0.584}"
8,1,1,1,1,15,22,2,0,,TRUE,FALSE,,,,drive,fine_leg,"{""phase"":""powerplay"",""score"":""9/0"",""crr"":7.71,""rrr"":"""",""pressure"":0.017,""xRuns"":1.588,""xWicket"":0.021,""risk"":0.479,""control"":0.533}"
9,1,1,2,1,15,22,1,0,,TRUE,FALSE,,,,reverse_sweep,deep_extra_cover,"{""phase"":""powerplay"",""score"":""10/0"",""crr"":7.5,""rrr"":"""",""pressure"":0.02,""xRuns"":1.587,""xWicket"":0.021,""risk"":0.48,""control"":0.6}"
10,1,1,3,15,1,22,2,0,,TRUE,FALSE,,,,square_cut,square_leg_inside,"{""phase"":""powerplay"",""score"":""12/0"",""crr"":8.0,""rrr"":"""",""pressure"":0.023,""xRuns"":1.678,""xWicket"":0.018,""risk"":0.56,""control"":0.604}"
11,1,1,4,15,1,22,3,0,,TRUE,FALSE,,,,clip,deep_cover,"{""phase"":""powerplay"",""score"":""15/0"",""crr"":9.0,""rrr"":"""",""pressure"":0.026,""xRuns"":1.677,""xWicket"":0.018,""risk"":0.562,""control"":0.664}"
12,1,1,5,1,15,22,2,0,,TRUE,FALSE,,,,defence,cover_point_inside,"{""phase"":""powerplay"",""score"":""17/0"",""crr"":9.27,""rrr"":"""",""pressure"":0.028,""xRuns"":1.584,""xWicket"":0.021,""risk"":0.484,""control"":0.628}"
13,1,1,6,1,15,22,2,0,,TRUE,FALSE,,,,flick,silly_point,"{""phase"":""powerplay"",""score"":""19/0"",""crr"":9.5,""rrr"":"""",""pressure"":0.031,""xRuns"":1.582,""xWicket"":0.021,""risk"":0.485,""control"":0.555}"
14,1,2,1,15,1,24,2,0,,TRUE,FALSE,,,,reverse_sweep,square_leg_inside,"{""phase"":""powerplay"",""score"":""21/0"",""crr"":9.69,""rrr"":"""",""pressure"":0.034,""xRuns"":1.673,""xWicket"":0.019,""risk"":0.565,""control"":0.609}"
15,1,2,2,15,1,24,4,0,,TRUE,FALSE,,,,scoop,fine_leg,"{""phase"":""powerplay"",""score"":""25/0"",""crr"":10.71,""rrr"":"""",""pressure"":0.037,""xRuns"":1.672,""xWicket"":0.019,""risk"":0.717,""control"":0.616}"
16,1,2,3,15,1,24,0,0,,TRUE,FALSE,,,,paddle_sweep,mid_on_area,"{""phase"":""powerplay"",""score"":""25/0"",""crr"":10.0,""rrr"":"""",""pressure"":0.04,""xRuns"":1.671,""xWicket"":0.019,""risk"":0.568,""control"":0.683}"
17,1,2,4,15,1,24,1,0,,TRUE,FALSE,,,,cover_drive,short_leg,"{""phase"":""powerplay"",""score"":""26/0"",""crr"":9.75,""rrr"":"""",""pressure"":0.043,""xRuns"":1.669,""xWicket"":0.019,""risk"":0.569,""control"":0.615}"
18,1,2,5,1,15,24,2,0,,TRUE,FALSE,,,,sweep,deep_extra_cover,"{""phase"":""powerplay"",""score"":""28/0"",""crr"":9.88,""rrr"":"""",""pressure"":0.045,""xRuns"":1.576,""xWicket"":0.022,""risk"":0.492,""control"":0.606}"
19,1,2,6,1,15,24,2,0,,TRUE,FALSE,,,,cut,fine_leg_inside,"{""phase"":""powerplay"",""score"":""30/0"",""crr"":10.0,""rrr"":"""",""pressure"":0.048,""xRuns"":1.575,""xWicket"":0.022,""risk"":0.493,""control"":0.566}"
20,1,3,1,15,1,23,6,0,,TRUE,FALSE,,,,hook,cover_point_inside,"{""phase"":""powerplay"",""score"":""36/0"",""crr"":11.37,""rrr"":"""",""pressure"":0.051,""xRuns"":1.685,""xWicket"":0.018,""risk"":0.723,""control"":0.668}"
21,1,3,2,15,1,23,0,0,,TRUE,FALSE,,,,flick,square_leg_inside,"{""phase"":""powerplay"",""score"":""36/0"",""crr"":10.8,""rrr"":"""",""pressure"":0.054,""xRuns"":1.684,""xWicket"":0.018,""risk"":0.574,""control"":0.561}"
