ball_event_id,innings_id,over_number,ball_number,striker_id,bowler_id,runs_off_bat,extras,is_legal_delivery,phase,current_run_rate,required_run_rate,pressure_index,expected_runs,expected_wicket_probability,shot_risk_score,batter_control_score,target_is_wicket,target_total_runs
1,1,0,1,15,29,0,1,False,powerplay,6.0,,0.0,1.611,0.006,0.55,0.57,0,1
2,1,0,1,15,29,1,0,True,powerplay,12.0,,0.0,1.611,0.024,0.55,0.613,0,1
3,1,0,2,1,29,0,0,True,powerplay,6.0,,0.003,1.518,0.027,0.473,0.508,0,0
4,1,0,3,1,29,4,0,True,powerplay,12.0,,0.006,1.517,0.027,0.624,0.599,0,4
5,1,0,4,1,29,0,0,True,powerplay,9.0,,0.009,1.515,0.028,0.475,0.539,0,0
6,1,0,5,1,29,0,0,True,powerplay,7.2,,0.011,1.514,0.028,0.476,0.626,0,0
7,1,0,6,1,29,1,0,True,powerplay,7.0,,0.014,1.513,0.028,0.478,0.584,0,1
8,1,1,1,1,22,2,0,True,powerplay,7.71,,0.017,1.588,0.021,0.479,0.533,0,2
9,1,1,2,1,22,1,0,True,powerplay,7.5,,0.02,1.587,0.021,0.48,0.6,0,1
10,1,1,3,15,22,2,0,True,powerplay,8.0,,0.023,1.678,0.018,0.56,0.604,0,2
11,1,1,4,15,22,3,0,True,powerplay,9.0,,0.026,1.677,0.018,0.562,0.664,0,3
12,1,1,5,1,22,2,0,True,powerplay,9.27,,0.028,1.584,0.021,0.484,0.628,0,2
13,1,1,6,1,22,2,0,True,powerplay,9.5,,0.031,1.582,0.021,0.485,0.555,0,2
14,1,2,1,15,24,2,0,True,powerplay,9.69,,0.034,1.673,0.019,0.565,0.609,0,2
15,1,2,2,15,24,4,0,True,powerplay,10.71,,0.037,1.672,0.019,0.717,0.616,0,4
16,1,2,3,15,24,0,0,True,powerplay,10.0,,0.04,1.671,0.019,0.568,0.683,0,0
17,1,2,4,15,24,1,0,True,powerplay,9.75,,0.043,1.669,0.019,0.569,0.615,0,1
18,1,2,5,1,24,2,0,True,powerplay,9.88,,0.045,1.576,0.022,0.492,0.606,0,2
19,1,2,6,1,24,2,0,True,powerplay,10.0,,0.048,1.575,0.022,0.493,0.566,0,2
20,1,3,1,15,23,6,0,True,powerplay,11.37,,0.051,1.685,0.018,0.723,0.668,0,6
21,1,3,2,15,23,0,0,True,powerplay,10.8,,0.054,1.684,0.018,0.574,0.561,0,0
22,1,3,3,15,23,0,1,False,powerplay,11.1,,0.057,1.683,0.006,0.576,0.599,0,1
23,1,3,3,15,23,1,0,True,powerplay,10.86,,0.057,1.683,0.018,0.576,0.662,0,1
24,1,3,4,1,23,1,0,True,powerplay,10.64,,0.059,1.59,0.021,0.498,0.62,0,1
25,1,3,5,15,23,0,1,False,powerplay,10.91,,0.062,1.681,0.006,0.578,0.569,0,1
26,1,3,5,15,23,1,0,True,powerplay,10.7,,0.062,1.681,0.018,0.578,0.591,0,1
27,1,3,6,1,23,1,0,True,powerplay,10.5,,0.065,1.587,0.021,0.501,0.54,0,1
28,1,4,1,1,25,2,0,True,powerplay,10.56,,0.068,1.595,0.02,0.502,0.523,0,2
29,1,4,2,1,25,4,0,True,powerplay,11.08,,0.071,1.594,0.02,0.653,0.626,0,4
30,1,4,3,1,25,0,0,True,powerplay,10.67,,0.074,1.593,0.02,0.505,0.534,0,0
31,1,4,4,1,25,1,0,True,powerplay,10.5,,0.077,1.592,0.021,0.506,0.534,0,1
32,1,4,5,15,25,1,0,True,powerplay,10.34,,0.079,1.683,0.018,0.586,0.578,0,1
33,1,4,6,1,25,4,0,True,powerplay,10.8,,0.082,1.589,0.021,0.658,0.569,0,4
34,1,5,1,15,29,4,0,True,powerplay,11.23,,0.085,1.576,0.028,0.738,0.541,0,4
35,1,5,2,15,29,1,0,True,powerplay,11.06,,0.088,1.574,0.028,0.59,0.612,0,1
36,1,5,3,1,29,1,0,True,powerplay,10.91,,0.091,1.481,0.031,0.512,0.507,0,1
37,1,5,4,15,29,2,0,True,powerplay,10.94,,0.094,1.572,0.029,0.592,0.616,0,2
38,1,5,5,15,29,4,0,True,powerplay,11.31,,0.096,1.571,0.029,0.743,0.63,0,4
39,1,5,6,15,29,1,0,True,powerplay,11.17,,0.099,1.57,0.029,0.595,0.64,0,1
40,1,6,1,15,22,1,0,True,middle,11.03,,0.102,1.645,0.022,0.596,0.676,0,1
41,1,6,2,1,22,0,0,True,middle,10.74,,0.105,1.551,0.025,0.519,0.64,0,0
42,1,6,3,1,22,0,0,True,middle,10.46,,0.108,1.55,0.025,0.52,0.634,0,0
43,1,6,4,1,22,2,0,True,middle,10.5,,0.111,1.549,0.025,0.521,0.534,0,2
44,1,6,5,1,22,0,0,True,middle,10.24,,0.113,1.548,0.025,0.522,0.625,0,0
45,1,6,6,1,22,4,0,True,middle,10.57,,0.116,1.547,0.025,0.674,0.528,0,4
46,1,7,1,15,24,6,0,True,middle,11.16,,0.119,1.638,0.022,0.754,0.643,0,6
47,1,7,2,15,24,4,0,True,middle,11.45,,0.122,1.636,0.023,0.755,0.676,0,4
48,1,7,3,15,24,1,0,True,middle,11.33,,0.125,1.635,0.023,0.606,0.556,0,1
49,1,7,4,1,24,6,0,True,middle,11.87,,0.128,1.542,0.026,0.679,0.669,0,6
50,1,7,5,1,24,0,0,True,middle,11.62,,0.13,1.541,0.026,0.53,0.561,0,0
51,1,7,6,1,24,1,0,True,middle,11.5,,0.133,1.539,0.026,0.531,0.614,0,1
52,1,8,1,1,23,2,0,True,middle,11.51,,0.136,1.557,0.024,0.533,0.595,0,2
53,1,8,2,1,23,4,0,True,middle,11.76,,0.139,1.556,0.024,0.684,0.655,0,4
54,1,8,3,1,23,2,0,True,middle,11.76,,0.142,1.555,0.024,0.535,0.636,0,2
55,1,8,4,1,23,2,0,True,middle,11.77,,0.145,1.553,0.025,0.537,0.618,0,2
56,1,8,5,1,23,1,0,True,middle,11.66,,0.147,1.553,0.025,0.538,0.598,0,1
57,1,8,6,15,23,1,0,True,middle,11.56,,0.15,1.644,0.022,0.618,0.673,0,1
58,1,9,1,15,25,1,0,True,middle,11.45,,0.153,1.652,0.021,0.619,0.555,0,1
59,1,9,2,1,25,0,0,True,middle,11.25,,0.156,1.558,0.024,0.542,0.601,0,0
60,1,9,3,1,25,4,0,True,middle,11.47,,0.159,1.557,0.024,0.693,0.549,0,4
61,1,9,4,1,25,4,0,True,middle,11.69,,0.162,1.556,0.024,0.694,0.561,0,4
62,1,9,5,1,25,0,0,True,middle,11.49,,0.164,1.555,0.024,0.545,0.61,0,0
63,1,9,6,1,25,1,0,True,middle,11.4,,0.167,1.554,0.025,0.547,0.54,0,1
64,1,10,1,1,29,1,0,True,middle,11.31,,0.17,1.448,0.035,0.548,0.543,0,1
65,1,10,2,15,29,0,0,True,middle,11.13,,0.173,1.539,0.032,0.628,0.535,0,0
66,1,10,3,15,29,0,0,True,middle,10.95,,0.176,1.537,0.032,0.629,0.63,0,0
67,1,10,4,15,29,0,0,True,middle,10.78,,0.179,1.536,0.032,0.631,0.633,0,0
68,1,10,5,15,29,0,0,True,middle,10.62,,0.181,1.535,0.033,0.631,0.578,0,0
69,1,10,6,15,29,6,1,False,middle,11.26,,0.184,1.534,0.006,0.783,0.616,0,7
70,1,10,6,15,29,4,0,True,middle,11.45,,0.184,1.534,0.033,0.783,0.64,0,4
71,1,11,1,1,22,1,0,True,middle,11.37,,0.187,1.517,0.028,0.556,0.547,0,1
72,1,11,2,15,22,0,0,True,middle,11.21,,0.19,1.608,0.026,0.636,0.66,0,0
