match_id,innings_id,player_id,team_id,runs,balls,fours,sixes,strike_rate,is_out,dismissal_type,dismissed_by_bowler_id,fielder_name
1,1,1,1,94,63,12,1,149.21,1,caught,25,Kiaan Bansal
1,1,2,1,3,2,0,0,150.0,0,not_out,,
1,1,6,1,35,16,1,3,218.75,1,run_out,,Kiaan Bansal
1,1,13,1,6,7,0,0,85.71,0,not_out,,
1,1,15,1,61,32,5,3,190.62,1,run_out,,Tanush Chaturvedi
1,2,17,2,12,14,0,0,85.71,1,caught,10,Samar Chawla
1,2,19,2,31,30,2,0,103.33,0,not_out,,
1,2,21,2,37,31,2,2,119.35,1,caught,14,Devansh Kulkarni
1,2,26,2,18,14,2,0,128.57,1,caught,8,Aarav Sharma
1,2,27,2,27,20,3,0,135.0,1,caught,7,Aarav Sharma
1,2,30,2,29,11,3,2,263.64,1,run_out,,Manan Gaur
2,3,31,3,50,46,3,2,108.7,1,stumped,9,Aarav Sharma
2,3,32,3,1,3,0,0,33.33,1,caught,12,Reyansh Jain
2,3,33,3,28,12,2,2,233.33,0,not_out,,
2,3,36,3,41,38,2,1,107.89,1,caught,8,Devansh Kulkarni
2,3,41,3,12,10,2,0,120.0,1,caught,8,Vivaan Rao
2,3,42,3,10,11,1,0,90.91,0,not_out,,
2,4,1,1,63,50,7,0,126.0,0,not_out,,
2,4,6,1,60,32,9,1,187.5,0,not_out,,
2,4,15,1,22,17,1,1,129.41,1,bowled,39,
3,5,46,4,85,58,8,3,146.55,0,not_out,,
3,5,56,4,18,12,2,1,150.0,1,caught,12,Yash Bhandari
3,5,58,4,24,8,1,3,300.0,0,not_out,,
3,5,60,4,69,42,5,3,164.29,1,bowled,7,
3,6,1,1,40,26,5,1,153.85,1,hit_wicket,54,
3,6,2,1,12,8,2,0,150.0,1,bowled,54,
3,6,6,1,75,51,7,1,147.06,0,not_out,,
3,6,12,1,16,12,2,0,133.33,0,not_out,,
3,6,13,1,11,12,1,0,91.67,1,bowled,55,
3,6,15,1,24,11,2,2,218.18,1,hit_wicket,53,
4,7,17,2,31,20,3,1,155.0,1,hit_wicket,39,
4,7,19,2,25,19,2,0,131.58,0,not_out,,
4,7,21,2,5,3,0,0,166.67,0,not_out,,
4,7,26,2,30,26,1,0,115.38,1,caught,44,Ayaan Qureshi
4,7,27,2,54,34,5,2,158.82,1,lbw,38,
4,7,30,2,30,18,3,1,166.67,1,caught,42,Kartik Shukla
4,8,31,3,7,9,1,0,77.78,1,caught,24,Omkar Mishra
4,8,32,3,10,6,1,0,166.67,1,caught,25,Pranav Joshi
4,8,33,3,7,9,0,0,77.78,1,caught,24,Pranav Joshi
4,8,36,3,2,2,0,0,100.0,1,lbw,29,
4,8,37,3,13,8,1,1,162.5,1,bowled,23,
4,8,38,3,25,18,2,0,138.89,1,bowled,24,
4,8,39,3,0,1,0,0,0.0,0,not_out,,
4,8,40,3,7,9,0,0,77.78,1,caught,22,Tanush Chaturvedi
4,8,41,3,16,14,1,0,114.29,1,caught,29,Lakshya Goyal
4,8,42,3,31,25,2,1,124.0,1,bowled,29,
4,8,44,3,1,3,0,0,33.33,1,caught,24,Kiaan Bansal
5,9,46,4,22,22,3,0,100.0,1,hit_wicket,25,
5,9,47,4,5,4,0,0,125.0,1,stumped,24,Abeer Khan
5,9,54,4,3,2,0,0,150.0,0,not_out,,
5,9,55,4,36,23,4,1,156.52,1,caught,25,Kiaan Bansal
5,9,56,4,24,19,2,1,126.32,1,stumped,29,Tanush Chaturvedi
5,9,57,4,4,2,1,0,200.0,1,lbw,24,
5,9,58,4,4,7,0,0,57.14,1,lbw,22,
5,9,59,4,24,21,2,1,114.29,0,not_out,,
5,9,60,4,21,20,3,0,105.0,1,caught,29,Advik Agarwal
5,10,17,2,12,7,2,0,171.43,1,lbw,55,
5,10,19,2,2,3,0,0,66.67,1,bowled,55,
5,10,21,2,33,16,3,1,206.25,0,not_out,,
5,10,22,2,6,2,1,0,300.0,0,not_out,,
5,10,26,2,37,45,2,0,82.22,1,hit_wicket,59,
5,10,27,2,34,23,4,0,147.83,1,stumped,53,Anay Gupta
5,10,29,2,16,14,0,1,114.29,1,caught,57,Keshav Lal
5,10,30,2,9,4,2,0,225.0,1,stumped,59,Keshav Lal
6,11,46,4,70,50,6,2,140.0,1,stumped,39,Viraj Thakur
6,11,56,4,9,7,1,0,128.57,1,caught,37,Parth Dubey
6,11,57,4,3,3,0,0,100.0,0,not_out,,
6,11,58,4,15,12,1,1,125.0,0,not_out,,
6,11,60,4,63,48,5,1,131.25,1,lbw,38,
6,12,31,3,44,22,5,2,200.0,1,caught,59,Aarush Khandelwal
6,12,32,3,1,3,0,0,33.33,1,stumped,54,Hriday Vohra
6,12,33,3,5,14,0,0,35.71,1,caught,59,Madhav Iyer
6,12,36,3,10,4,2,0,250.0,1,caught,59,Yuvraj Panwar
6,12,37,3,9,4,0,1,225.0,1,stumped,57,Madhav Iyer
6,12,38,3,14,8,1,1,175.0,1,caught,57,Keshav Lal
6,12,39,3,0,1,0,0,0.0,1,bowled,52,
6,12,40,3,2,4,0,0,50.0,0,not_out,,
6,12,41,3,41,41,5,0,100.0,1,caught,54,Mihir Chhabra
6,12,42,3,3,6,0,0,50.0,1,bowled,53,
6,12,44,3,8,8,0,0,100.0,1,caught,57,Madhav Iyer
7,13,17,2,17,9,3,0,188.89,1,bowled,10,
7,13,19,2,0,1,0,0,0.0,1,caught,8,Reyansh Jain
7,13,21,2,33,41,2,1,80.49,1,caught,12,Vivaan Rao
7,13,22,2,2,3,0,0,66.67,1,caught,14,Arjun Nair
7,13,23,2,10,9,1,0,111.11,0,not_out,,
7,13,24,2,16,8,2,1,200.0,1,caught,8,Devansh Kulkarni
7,13,25,2,9,7,1,0,128.57,1,stumped,9,Manan Gaur
