match_id,innings_id,player_id,team_id,balls,overs,runs_conceded,wickets,dots,extras_conceded,economy
1,1,22,2,24,4.0,42,0,7,0,10.5
1,1,23,2,24,4.0,44,0,5,2,11.0
1,1,24,2,24,4.0,43,0,5,0,10.75
1,1,25,2,24,4.0,31,1,10,1,7.75
1,1,29,2,24,4.0,44,0,9,2,11.0
1,2,7,1,18,3.0,21,1,6,3,7.0
1,2,8,1,18,3.0,26,1,5,1,8.67
1,2,9,1,24,4.0,20,0,10,1,5.0
1,2,10,1,12,2.0,19,1,2,1,9.5
1,2,12,1,24,4.0,43,0,4,0,10.75
1,2,14,1,24,4.0,32,1,8,1,8.0
2,3,7,1,18,3.0,25,0,8,1,8.33
2,3,8,1,18,3.0,24,2,7,0,8.0
2,3,9,1,24,4.0,28,1,10,3,7.0
2,3,10,1,12,2.0,15,0,4,1,7.5
2,3,12,1,24,4.0,44,1,7,3,11.0
2,3,14,1,24,4.0,14,0,13,0,3.5
2,4,37,3,21,3.3,28,0,6,1,8.0
2,4,38,3,18,3.0,27,0,6,2,9.0
2,4,39,3,12,2.0,18,1,2,1,9.0
2,4,40,3,18,3.0,37,0,3,2,12.33
2,4,42,3,12,2.0,21,0,3,0,10.5
2,4,44,3,18,3.0,20,0,8,0,6.67
3,5,7,1,18,3.0,27,1,4,0,9.0
3,5,8,1,18,3.0,29,0,8,1,9.67
3,5,9,1,24,4.0,31,0,4,1,7.75
3,5,10,1,12,2.0,20,0,2,0,10.0
3,5,12,1,24,4.0,51,1,7,0,12.75
3,5,14,1,24,4.0,42,0,7,2,10.5
3,6,52,4,18,3.0,32,0,5,0,10.67
3,6,53,4,18,3.0,28,1,5,2,9.33
3,6,54,4,18,3.0,19,2,6,1,6.33
3,6,55,4,18,3.0,22,1,7,0,7.33
3,6,57,4,24,4.0,39,0,7,0,9.75
3,6,59,4,24,4.0,44,0,7,3,11.0
4,7,37,3,24,4.0,32,0,10,2,8.0
4,7,38,3,24,4.0,30,1,6,0,7.5
4,7,39,3,24,4.0,46,1,5,1,11.5
4,7,40,3,18,3.0,22,0,5,0,7.33
4,7,42,3,12,2.0,16,1,4,0,8.0
4,7,44,3,18,3.0,34,1,5,2,11.33
4,8,22,2,20,3.2,19,1,7,2,5.7
4,8,23,2,24,4.0,26,1,9,0,6.5
4,8,24,2,18,3.0,22,4,6,1,7.33
4,8,25,2,18,3.0,16,1,8,0,5.33
4,8,29,2,24,4.0,39,3,7,0,9.75
5,9,22,2,24,4.0,23,1,10,0,5.75
5,9,23,2,24,4.0,45,0,8,1,11.25
5,9,24,2,24,4.0,23,2,10,0,5.75
5,9,25,2,24,4.0,25,2,8,0,6.25
5,9,29,2,24,4.0,30,2,9,2,7.5
5,10,52,4,12,2.0,15,0,5,2,7.5
5,10,53,4,18,3.0,24,1,4,1,8.0
5,10,54,4,18,3.0,23,0,5,1,7.67
5,10,55,4,18,3.0,25,2,7,1,8.33
5,10,57,4,24,4.0,41,1,9,2,10.25
5,10,59,4,24,4.0,28,2,10,0,7.0
6,11,37,3,24,4.0,46,1,4,0,11.5
6,11,38,3,24,4.0,31,1,9,1,7.75
6,11,39,3,24,4.0,28,1,10,1,7.0
6,11,40,3,18,3.0,15,0,4,0,5.0
6,11,42,3,12,2.0,23,0,0,0,11.5
6,11,44,3,18,3.0,19,0,6,0,6.33
6,12,52,4,13,2.1,14,1,6,1,6.46
6,12,53,4,18,3.0,25,1,7,1,8.33
6,12,54,4,18,3.0,24,2,9,1,8.0
6,12,55,4,18,3.0,21,0,5,0,7.0
