id,match_id,innings_number,batting_team_id,bowling_team_id,total_overs_limit,is_complete
1,1,1,1,2,20,True
2,1,2,2,1,20,True
3,2,1,3,1,20,True
4,2,2,1,3,20,True
5,3,1,4,1,20,True
6,3,2,1,4,20,True
7,4,1,2,3,20,True
8,4,2,3,2,20,True
9,5,1,4,2,20,True
10,5,2,2,4,20,True
11,6,1,4,3,20,True
12,6,2,3,4,20,True
13,7,1,2,1,20,True
14,7,2,1,2,20,True
15,8,1,1,3,20,True
16,8,2,3,1,20,True
17,9,1,4,1,20,True
18,9,2,1,4,20,True
19,10,1,3,2,20,True
20,10,2,2,3,20,True
21,11,1,2,4,20,True
22,11,2,4,2,20,True
23,12,1,3,4,20,True
24,12,2,4,3,20,True
