innings_id,match_id,innings_number,batting_team_id,bowling_team_id,runs,wickets,legal_balls,overs,extras,run_rate,target,is_chase_successful
1,1,1,1,2,206,3,120,20.0,7,10.3,,False
2,1,2,2,1,170,5,120,20.0,16,8.5,207,False
3,2,1,3,1,153,4,120,20.0,11,7.65,,False
4,2,2,1,3,154,1,99,16.3,9,9.33,154,True
5,3,1,4,1,206,2,120,20.0,10,10.3,,False
6,3,2,1,4,190,4,120,20.0,12,9.5,207,False
7,4,1,2,3,183,4,120,20.0,8,9.15,,False
8,4,2,3,2,125,10,104,17.2,6,7.21,184,False
9,5,1,4,2,158,7,120,20.0,15,7.9,,False
10,5,2,2,4,159,6,114,19.0,10,8.37,159,True
11,6,1,4,3,173,3,120,20.0,13,8.65,,False
12,6,2,3,4,146,10,115,19.1,9,7.62,174,False
13,7,1,2,1,153,10,117,19.3,15,7.85,,False
14,7,2,1,2,156,2,87,14.3,2,10.76,154,True
15,8,1,1,3,180,4,120,20.0,11,9.0,,False
16,8,2,3,1,156,5,120,20.0,12,7.8,181,False
17,9,1,4,1,188,3,120,20.0,4,9.4,,False
18,9,2,1,4,183,8,120,20.0,10,9.15,189,False
19,10,1,3,2,182,4,120,20.0,8,9.1,,False
20,10,2,2,3,102,10,95,15.5,9,6.44,183,False
21,11,1,2,4,189,7,120,20.0,12,9.45,,False
22,11,2,4,2,108,10,89,14.5,5,7.28,190,False
23,12,1,3,4,179,7,120,20.0,13,8.95,,False
24,12,2,4,3,179,4,120,20.0,3,8.95,180,False
