id,innings_id,player_id,metric_type,display_area,payload_sent,api_response,card_data,is_active,is_visible
1,1,1,batting_dashboard,main_overlay,"{""player_id"": 1, ""innings_id"": 1, ""runs"": 94, ""balls"": 63}","{""metric_score"": 0.668, ""label"": ""high-impact""}","{""title"": ""Batting Dashboard"", ""headline"": ""94 off 63"", ""player_id"": 1}",True,True
2,1,15,shot_risk_efficiency,between_overs,"{""player_id"": 15, ""innings_id"": 1, ""runs"": 61, ""balls"": 32}","{""metric_score"": 0.777, ""label"": ""high-impact""}","{""title"": ""Shot Risk Efficiency"", ""headline"": ""61 off 32"", ""player_id"": 15}",True,True
3,1,6,shot_risk_efficiency,main_overlay,"{""player_id"": 6, ""innings_id"": 1, ""runs"": 35, ""balls"": 16}","{""metric_score"": 0.753, ""label"": ""high-impact""}","{""title"": ""Shot Risk Efficiency"", ""headline"": ""35 off 16"", ""player_id"": 6}",True,True
4,2,21,consistency_index,between_overs,"{""player_id"": 21, ""innings_id"": 2, ""runs"": 37, ""balls"": 31}","{""metric_score"": 0.63, ""label"": ""high-impact""}","{""title"": ""Consistency Index"", ""headline"": ""37 off 31"", ""player_id"": 21}",True,True
5,2,19,shot_risk_efficiency,between_balls,"{""player_id"": 19, ""innings_id"": 2, ""runs"": 31, ""balls"": 30}","{""metric_score"": 0.815, ""label"": ""stable""}","{""title"": ""Shot Risk Efficiency"", ""headline"": ""31 off 30"", ""player_id"": 19}",True,True
6,2,30,batting_dashboard,between_balls,"{""player_id"": 30, ""innings_id"": 2, ""runs"": 29, ""balls"": 11}","{""metric_score"": 0.656, ""label"": ""stable""}","{""title"": ""Batting Dashboard"", ""headline"": ""29 off 11"", ""player_id"": 30}",True,True
7,3,31,batting_dashboard,between_balls,"{""player_id"": 31, ""innings_id"": 3, ""runs"": 50, ""balls"": 46}","{""metric_score"": 0.828, ""label"": ""high-impact""}","{""title"": ""Batting Dashboard"", ""headline"": ""50 off 46"", ""player_id"": 31}",True,True
8,3,36,pressure_performance,between_overs,"{""player_id"": 36, ""innings_id"": 3, ""runs"": 41, ""balls"": 38}","{""metric_score"": 0.716, ""label"": ""high-impact""}","{""title"": ""Pressure Performance"", ""headline"": ""41 off 38"", ""player_id"": 36}",True,True
9,3,33,shot_risk_efficiency,between_overs,"{""player_id"": 33, ""innings_id"": 3, ""runs"": 28, ""balls"": 12}","{""metric_score"": 0.695, ""label"": ""stable""}","{""title"": ""Shot Risk Efficiency"", ""headline"": ""28 off 12"", ""player_id"": 33}",True,True
10,4,1,consistency_index,between_overs,"{""player_id"": 1, ""innings_id"": 4, ""runs"": 63, ""balls"": 50}","{""metric_score"": 0.668, ""label"": ""high-impact""}","{""title"": ""Consistency Index"", ""headline"": ""63 off 50"", ""player_id"": 1}",True,True
11,4,6,batting_dashboard,bottom_bar,"{""player_id"": 6, ""innings_id"": 4, ""runs"": 60, ""balls"": 32}","{""metric_score"": 0.753, ""label"": ""high-impact""}","{""title"": ""Batting Dashboard"", ""headline"": ""60 off 32"", ""player_id"": 6}",True,True
12,4,15,batting_dashboard,main_overlay,"{""player_id"": 15, ""innings_id"": 4, ""runs"": 22, ""balls"": 17}","{""metric_score"": 0.777, ""label"": ""stable""}","{""title"": ""Batting Dashboard"", ""headline"": ""22 off 17"", ""player_id"": 15}",True,True
13,5,46,pressure_performance,between_balls,"{""player_id"": 46, ""innings_id"": 5, ""runs"": 85, ""balls"": 58}","{""metric_score"": 0.711, ""label"": ""high-impact""}","{""title"": ""Pressure Performance"", ""headline"": ""85 off 58"", ""player_id"": 46}",True,True
