player_id,team_id,role,batting_rating,bowling_rating,fielding_rating,aggression,consistency,pressure_handling,death_overs_skill
1,1,Batter,89,20,75,66,60,49,12
2,1,Batter,77,22,79,64,71,70,15
3,1,All-Rounder,64,60,89,52,88,81,86
4,1,Wicketkeeper,65,10,85,74,51,87,24
5,1,All-Rounder,68,53,88,64,56,84,66
6,1,Batter,88,25,72,93,81,54,13
7,1,Bowler,24,89,77,50,91,78,50
8,1,Bowler,17,79,67,64,82,48,56
9,1,Bowler,42,85,58,76,57,67,81
10,1,Bowler,30,78,62,67,76,74,67
11,1,Batter,69,16,68,64,59,75,21
12,1,All-Rounder,73,54,91,63,58,58,92
13,1,Batter,84,22,63,69,69,48,22
14,1,Bowler,22,85,65,67,64,80,89
15,1,Batter,91,7,77,77,77,63,26
16,2,Batter,70,23,59,66,61,75,27
17,2,Batter,84,8,58,85,51,68,35
18,2,All-Rounder,61,63,64,50,83,72,71
19,2,Wicketkeeper,84,8,58,59,70,92,10
20,2,All-Rounder,74,60,72,72,60,92,66
21,2,Batter,79,7,80,50,59,49,37
22,2,Bowler,14,75,72,56,77,83,75
23,2,Bowler,15,73,81,65,49,87,76
24,2,Bowler,17,75,92,77,61,72,64
25,2,Bowler,33,72,90,57,93,90,66
26,2,Batter,85,6,72,55,78,83,29
27,2,Batter,86,7,73,75,68,64,11
28,2,All-Rounder,59,57,83,53,71,58,55
29,2,Bowler,36,83,59,59,76,48,82
30,2,Batter,86,21,86,86,51,59,18
31,3,Batter,83,11,64,83,86,79,34
32,3,Batter,80,16,79,88,80,58,22
33,3,All-Rounder,77,59,68,48,70,60,78
34,3,Wicketkeeper,66,6,82,78,69,49,17
35,3,All-Rounder,74,55,61,92,88,53,48
36,3,Batter,85,20,92,53,76,51,31
37,3,Bowler,35,69,77,90,84,76,89
38,3,Bowler,22,87,91,82,72,66,84
39,3,Bowler,41,67,89,70,71,92,75
40,3,Bowler,42,74,89,60,87,86,59
41,3,Batter,82,24,73,62,70,51,19
42,3,All-Rounder,77,62,68,73,79,62,71
43,3,Batter,74,5,69,55,81,74,27
44,3,Bowler,13,89,61,76,63,61,51
45,3,Batter,69,9,73,67,83,90,28
46,4,Batter,81,24,74,65,82,47,36
47,4,Batter,73,25,61,77,55,50,34
48,4,All-Rounder,63,77,92,69,91,85,54
49,4,Wicketkeeper,65,1,72,49,82,61,25
50,4,All-Rounder,66,75,58,75,88,50,79
51,4,Batter,68,16,76,91,54,52,15
52,4,Bowler,38,83,67,59,49,80,63
53,4,Bowler,27,84,60,71,92,82,52
54,4,Bowler,27,84,67,69,77,66,62
55,4,Bowler,35,87,70,85,69,61,57
56,4,Batter,81,21,87,82,56,49,23
57,4,All-Rounder,76,65,83,88,91,82,69
58,4,Batter,78,18,85,58,52,52,14
59,4,Bowler,41,85,85,60,57,63,76
60,4,Batter,84,17,79,59,65,66,12
