match_id,player_id,team_id,role,batting_rating,bowling_rating,aggression,consistency,pressure_handling,runs,balls_faced,strike_rate,wickets,bowling_balls,economy,fantasy_points,form_index,target_runs,target_wickets,target_fantasy_points
1,1,1,Batter,89,20,66,60,49,94,63,149.21,0,0,,108.0,0.668,94,0,108.0
1,2,1,Batter,77,22,64,71,70,3,2,150.0,0,0,,3.0,0.728,3,0,3.0
1,6,1,Batter,88,25,93,81,54,35,16,218.75,0,0,,42.0,0.753,35,0,42.0
1,7,1,Bowler,24,89,50,91,78,0,0,0,1,18,7.0,24.85,0.636,0,1,24.85
1,8,1,Bowler,17,79,64,82,48,0,0,0,1,18,8.67,23.6,0.49,0,1,23.6
1,9,1,Bowler,42,85,76,57,67,0,0,0,0,24,5.0,2.0,0.547,0,0,2.0
1,10,1,Bowler,30,78,67,76,74,0,0,0,1,12,9.5,23.15,0.593,0,1,23.15
1,12,1,All-Rounder,73,54,63,58,58,0,0,0,0,24,10.75,-4.45,0.632,0,0,-4.45
1,13,1,Batter,84,22,69,69,48,6,7,85.71,0,0,,6.0,0.679,6,0,6.0
1,14,1,Bowler,22,85,67,64,80,0,0,0,1,24,8.0,24.2,0.541,0,1,24.2
1,15,1,Batter,91,7,77,77,63,61,32,190.62,0,0,,72.0,0.777,61,0,72.0
1,17,2,Batter,84,8,85,51,68,12,14,85.71,0,0,,12.0,0.677,12,0,12.0
1,19,2,Wicketkeeper,84,8,59,70,92,31,30,103.33,0,0,,33.0,0.815,31,0,33.0
1,21,2,Batter,79,7,50,59,49,37,31,119.35,0,0,,43.0,0.63,37,0,43.0
1,22,2,Bowler,14,75,56,77,83,0,0,0,0,24,10.5,-2.8,0.568,0,0,-2.8
1,23,2,Bowler,15,73,65,49,87,0,0,0,0,24,11.0,-4.1,0.485,0,0,-4.1
1,24,2,Bowler,17,75,77,61,72,0,0,0,0,24,10.75,-3.95,0.489,0,0,-3.95
1,25,2,Bowler,33,72,57,93,90,0,0,0,1,24,7.75,25.35,0.711,0,1,25.35
1,26,2,Batter,85,6,55,78,83,18,14,128.57,0,0,,20.0,0.819,18,0,20.0
1,27,2,Batter,86,7,75,68,64,27,20,135.0,0,0,,30.0,0.731,27,0,30.0
1,29,2,Bowler,36,83,59,76,48,0,0,0,0,24,11.0,-2.1,0.536,0,0,-2.1
1,30,2,Batter,86,21,86,51,59,29,11,263.64,0,0,,36.0,0.656,29,0,36.0
2,1,1,Batter,89,20,66,60,49,63,50,126.0,0,0,,70.0,0.668,63,0,70.0
2,2,1,Batter,77,22,64,71,70,0,0,0,0,0,,0.0,0.728,0,0,0.0
2,6,1,Batter,88,25,93,81,54,60,32,187.5,0,0,,71.0,0.753,60,0,71.0
2,7,1,Bowler,24,89,50,91,78,0,0,0,0,18,8.33,0.25,0.636,0,0,0.25
2,8,1,Bowler,17,79,64,82,48,0,0,0,2,18,8.0,49.9,0.49,0,2,49.9
2,9,1,Bowler,42,85,76,57,67,0,0,0,1,24,7.0,25.8,0.547,0,1,25.8
2,10,1,Bowler,30,78,67,76,74,0,0,0,0,12,7.5,-0.25,0.593,0,0,-0.25
2,12,1,All-Rounder,73,54,63,58,58,0,0,0,1,24,11.0,21.9,0.632,0,1,21.9
2,13,1,Batter,84,22,69,69,48,0,0,0,0,0,,0.0,0.679,0,0,0.0
2,14,1,Bowler,22,85,67,64,80,0,0,0,0,24,3.5,4.4,0.541,0,0,4.4
2,15,1,Batter,91,7,77,77,63,22,17,129.41,0,0,,25.0,0.777,22,0,25.0
2,31,3,Batter,83,11,83,86,79,50,46,108.7,0,0,,57.0,0.828,50,0,57.0
2,32,3,Batter,80,16,88,80,58,1,3,33.33,0,0,,1.0,0.734,1,0,1.0
2,33,3,All-Rounder,77,59,48,70,60,28,12,233.33,0,0,,34.0,0.695,28,0,34.0
2,36,3,Batter,85,20,53,76,51,41,38,107.89,0,0,,45.0,0.716,41,0,45.0
2,37,3,Bowler,35,69,90,84,76,0,0,0,0,21,8.0,-1.2,0.645,0,0,-1.2
2,38,3,Bowler,22,87,82,72,66,0,0,0,0,18,9.0,-1.05,0.527,0,0,-1.05
2,39,3,Bowler,41,67,70,71,92,0,0,0,1,12,9.0,23.3,0.668,0,1,23.3
2,40,3,Bowler,42,74,60,87,86,0,0,0,0,18,12.33,-4.05,0.71,0,0,-4.05
2,41,3,Batter,82,24,62,70,51,12,10,120.0,0,0,,14.0,0.685,12,0,14.0
2,42,3,All-Rounder,77,62,73,79,62,10,11,90.91,0,12,10.5,9.35,0.732,10,0,9.35
2,44,3,Bowler,13,89,76,63,61,0,0,0,0,18,6.67,1.0,0.449,0,0,1.0
3,1,1,Batter,89,20,66,60,49,40,26,153.85,0,0,,47.0,0.668,40,0,47.0
3,2,1,Batter,77,22,64,71,70,12,8,150.0,0,0,,14.0,0.728,12,0,14.0
3,6,1,Batter,88,25,93,81,54,75,51,147.06,0,0,,84.0,0.753,75,0,84.0
3,7,1,Bowler,24,89,50,91,78,0,0,0,1,18,9.0,22.95,0.636,0,1,22.95
3,8,1,Bowler,17,79,64,82,48,0,0,0,0,18,9.67,-0.35,0.49,0,0,-0.35
3,9,1,Bowler,42,85,76,57,67,0,0,0,0,24,7.75,-2.65,0.547,0,0,-2.65
3,10,1,Bowler,30,78,67,76,74,0,0,0,0,12,10.0,-2.0,0.593,0,0,-2.0
3,12,1,All-Rounder,73,54,63,58,58,16,12,133.33,1,24,12.75,38.85,0.632,16,1,38.85
3,13,1,Batter,84,22,69,69,48,11,12,91.67,0,0,,12.0,0.679,11,0,12.0
3,14,1,Bowler,22,85,67,64,80,0,0,0,0,24,10.5,-2.8,0.541,0,0,-2.8
3,15,1,Batter,91,7,77,77,63,24,11,218.18,0,0,,30.0,0.777,24,0,30.0
3,46,4,Batter,81,24,65,82,47,85,58,146.55,0,0,,99.0,0.711,85,0,99.0
3,47,4,Batter,73,25,77,55,50,0,0,0,0,0,,0.0,0.598,0,0,0.0
3,52,4,Bowler,38,83,59,49,80,0,0,0,0,18,10.67,-2.3,0.544,0,0,-2.3
3,53,4,Bowler,27,84,71,92,82,0,0,0,1,18,9.33,23.3,0.662,0,1,23.3
3,54,4,Bowler,27,84,69,77,66,0,0,0,2,18,6.33,50.15,0.562,0,2,50.15
3,55,4,Bowler,35,87,85,69,61,0,0,0,1,18,7.33,25.2,0.547,0,1,25.2
3,56,4,Batter,81,21,82,56,49,18,12,150.0,0,0,,22.0,0.626,18,0,22.0
3,57,4,All-Rounder,76,65,88,91,82,0,0,0,0,24,9.75,-2.35,0.831,0,0,-2.35
3,58,4,Batter,78,18,58,52,52,24,8,300.0,0,0,,31.0,0.611,24,0,31.0
3,59,4,Bowler,41,85,60,57,63,0,0,0,0,24,11.0,-3.1,0.532,0,0,-3.1
3,60,4,Batter,84,17,59,65,66,69,42,164.29,0,0,,80.0,0.72,69,0,80.0
4,17,2,Batter,84,8,85,51,68,31,20,155.0,0,0,,36.0,0.677,31,0,36.0
4,19,2,Wicketkeeper,84,8,59,70,92,25,19,131.58,0,0,,27.0,0.815,25,0,27.0
4,21,2,Batter,79,7,50,59,49,5,3,166.67,0,0,,5.0,0.63,5,0,5.0
4,22,2,Bowler,14,75,56,77,83,0,0,0,1,20,5.7,25.65,0.568,0,1,25.65
4,23,2,Bowler,15,73,65,49,87,0,0,0,1,24,6.5,25.6,0.485,0,1,25.6
